Arquivo,Classe,Total de Pixels
00000037.jpg,personagem_1,7543
00000037.jpg,personagem_2,0
00000038.jpg,personagem_1,0
00000038.jpg,personagem_2,0
00000039.jpg,personagem_1,1770
00000039.jpg,personagem_2,0
00000040.jpg,personagem_1,0
00000040.jpg,personagem_2,1819
00000041.jpg,personagem_1,29774
00000041.jpg,personagem_2,0
00000042.jpg,personagem_1,0
00000042.jpg,personagem_2,0
00000043.jpg,personagem_1,19197
00000043.jpg,personagem_2,292
00000044.jpg,personagem_1,2798
00000044.jpg,personagem_2,0
00000045.jpg,personagem_1,0
00000045.jpg,personagem_2,0
00000046.jpg,personagem_1,22284
00000046.jpg,personagem_2,0
00000047.jpg,personagem_1,0
00000047.jpg,personagem_2,1
00000048.jpg,personagem_1,1
00000048.jpg,personagem_2,0
00000049.jpg,personagem_1,7543
00000049.jpg,personagem_2,0
00000050.jpg,personagem_1,379
00000050.jpg,personagem_2,0
00000051.jpg,personagem_1,0
00000051.jpg,personagem_2,0
00000052.jpg,personagem_1,1770
00000052.jpg,personagem_2,0
00000053.jpg,personagem_1,0
00000053.jpg,personagem_2,1819
00000054.jpg,personagem_1,29774
00000054.jpg,personagem_2,0
00000055.jpg,personagem_1,0
00000055.jpg,personagem_2,0
00000056.jpg,personagem_1,19197
00000056.jpg,personagem_2,292
00000057.jpg,personagem_1,2798
00000057.jpg,personagem_2,0
00000058.jpg,personagem_1,0
00000058.jpg,personagem_2,0
00000059.jpg,personagem_1,22284
00000059.jpg,personagem_2,0
00000060.jpg,personagem_1,0
00000060.jpg,personagem_2,1
00000061.jpg,personagem_1,9147
00000061.jpg,personagem_2,0
00000062.jpg,personagem_1,4
00000062.jpg,personagem_2,0
00000063.jpg,personagem_1,55969
00000063.jpg,personagem_2,0
00000065.jpg,personagem_1,0
00000065.jpg,personagem_2,0
00000066.jpg,personagem_1,31534
00000066.jpg,personagem_2,0
00000067.jpg,personagem_1,3014
00000067.jpg,personagem_2,12
00000068.jpg,personagem_1,33895
00000068.jpg,personagem_2,0
00000069.jpg,personagem_1,16
00000069.jpg,personagem_2,0
00000070.jpg,personagem_1,0
00000070.jpg,personagem_2,18
00000072.jpg,personagem_1,26606
00000072.jpg,personagem_2,0
00000074.jpg,personagem_1,14001
00000074.jpg,personagem_2,1
00000075.jpg,personagem_1,512764
00000075.jpg,personagem_2,0
00000076.jpg,personagem_1,0
00000076.jpg,personagem_2,0
00000077.jpg,personagem_1,529284
00000077.jpg,personagem_2,0
00000078.jpg,personagem_1,39349
00000078.jpg,personagem_2,0
00000079.jpg,personagem_1,0
00000079.jpg,personagem_2,0
00000080.jpg,personagem_1,23544
00000080.jpg,personagem_2,383
00000081.jpg,personagem_1,855
00000081.jpg,personagem_2,0
00000082.jpg,personagem_1,143804
00000082.jpg,personagem_2,0
00000083.jpg,personagem_1,3430
00000083.jpg,personagem_2,0
00000084.jpg,personagem_1,612
00000084.jpg,personagem_2,0
00000085.jpg,personagem_1,13699
00000085.jpg,personagem_2,0
00000087.jpg,personagem_1,8618
00000087.jpg,personagem_2,0
00000088.jpg,personagem_1,66586
00000088.jpg,personagem_2,0
00000089.jpg,personagem_1,7661
00000089.jpg,personagem_2,0
00000090.jpg,personagem_1,11665
00000090.jpg,personagem_2,20273
00000091.jpg,personagem_1,38412
00000091.jpg,personagem_2,0
00000092.jpg,personagem_1,4
00000092.jpg,personagem_2,0
00000093.jpg,personagem_1,6794
00000093.jpg,personagem_2,0
00000094.jpg,personagem_1,103996
00000094.jpg,personagem_2,0
00000095.jpg,personagem_1,4900
00000095.jpg,personagem_2,0
00000096.jpg,personagem_1,9513
00000096.jpg,personagem_2,0
00000097.jpg,personagem_1,33895
00000097.jpg,personagem_2,0
00000098.jpg,personagem_1,143804
00000098.jpg,personagem_2,0
00000099.jpg,personagem_1,3430
00000099.jpg,personagem_2,0
00000100.jpg,personagem_1,612
00000100.jpg,personagem_2,0
00000101.jpg,personagem_1,13699
00000101.jpg,personagem_2,0
00000103.jpg,personagem_1,8618
00000103.jpg,personagem_2,0
00000104.jpg,personagem_1,66586
00000104.jpg,personagem_2,0
00000105.jpg,personagem_1,7661
00000105.jpg,personagem_2,0
00000106.jpg,personagem_1,11665
00000106.jpg,personagem_2,20273
00000107.jpg,personagem_1,38412
00000107.jpg,personagem_2,0
00000108.jpg,personagem_1,4
00000108.jpg,personagem_2,0
00000109.jpg,personagem_1,6794
00000109.jpg,personagem_2,0
00000110.jpg,personagem_1,103996
00000110.jpg,personagem_2,0
00000111.jpg,personagem_1,4900
00000111.jpg,personagem_2,0
00000112.jpg,personagem_1,9513
